epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7966,1.34409,3.83951,1.73266,0.00585,0.75312,0.18453,0.1038,1.41497,3.62677,2.00325,0.00016008,0.00016008,0.00016008
2,22.299,1.24951,3.25267,1.66719,0.65676,0.18182,0.21998,0.14169,1.34697,3.43384,1.92116,0.000323594,0.000323594,0.000323594
3,32.7783,1.24409,2.84547,1.68355,0.71002,0.20909,0.30047,0.17886,1.58774,3.2298,2.16455,0.000483807,0.000483807,0.000483807
4,43.3032,1.29567,2.51769,1.69563,0.35652,0.48944,0.36315,0.25174,1.44369,2.72054,1.96134,0.000640718,0.000640718,0.000640718
5,54.1904,1.3148,2.41082,1.68741,0.5597,0.45818,0.40566,0.2729,1.44918,2.80954,2.00207,0.000640587,0.000640587,0.000640587
6,65.879,1.21255,2.19611,1.64533,0.4935,0.43129,0.46328,0.31364,1.45284,2.38437,2.0318,0.000633983,0.000633983,0.000633983
7,78.1331,1.22525,2.02447,1.62448,0.32668,0.57411,0.48076,0.29146,1.48144,2.66029,2.08592,0.00062738,0.00062738,0.00062738
8,91.0057,1.18387,1.96864,1.57864,0.40893,0.59068,0.56314,0.36226,1.47994,2.43901,1.97524,0.000620777,0.000620777,0.000620777
9,103.951,1.13254,1.86981,1.55297,0.81695,0.45668,0.56916,0.35834,1.53028,2.24225,1.99958,0.000614174,0.000614174,0.000614174
10,118.86,1.13906,1.82073,1.57282,0.63923,0.52406,0.54001,0.36412,1.52612,2.19912,2.15136,0.00060757,0.00060757,0.00060757
11,135.675,1.08653,1.65905,1.50638,0.74438,0.4167,0.53962,0.36384,1.4615,2.39205,2.03752,0.000600967,0.000600967,0.000600967
12,153.533,1.0721,1.60056,1.4757,0.65396,0.50507,0.58685,0.43986,1.48282,2.29448,2.14913,0.000594364,0.000594364,0.000594364
13,171.724,1.06077,1.61845,1.49606,0.8017,0.38537,0.49885,0.3403,1.53883,2.48714,2.20988,0.00058776,0.00058776,0.00058776
14,192.134,1.06564,1.55891,1.46505,0.36682,0.57078,0.51654,0.36416,1.46273,2.09238,1.96428,0.000581157,0.000581157,0.000581157
15,216.292,1.03117,1.52613,1.46157,0.61594,0.50045,0.55143,0.3813,1.45359,1.90753,1.9807,0.000574554,0.000574554,0.000574554
16,242.552,0.98311,1.45488,1.44498,0.41033,0.50741,0.41818,0.26711,1.61325,2.50876,2.22077,0.00056795,0.00056795,0.00056795
17,267.949,0.99653,1.41192,1.41502,0.55532,0.46076,0.45552,0.30709,1.48895,2.41875,2.02484,0.000561347,0.000561347,0.000561347
18,296.703,0.96674,1.35616,1.40192,0.69278,0.53749,0.61774,0.41778,1.43202,2.16953,1.93319,0.000554744,0.000554744,0.000554744
19,324.655,0.97918,1.34252,1.41325,0.83953,0.43624,0.58786,0.42661,1.43819,2.02805,1.99008,0.000548141,0.000548141,0.000548141
20,350.907,0.98558,1.31097,1.41913,0.83112,0.53059,0.59123,0.43704,1.43956,1.84765,2.03368,0.000541537,0.000541537,0.000541537
21,376.405,0.90612,1.22907,1.35115,0.7284,0.65077,0.62849,0.47927,1.46041,1.78532,1.94235,0.000534934,0.000534934,0.000534934
22,401.319,0.95071,1.25616,1.39229,0.42196,0.51597,0.53385,0.35485,1.59564,2.29584,2.20215,0.000528331,0.000528331,0.000528331
23,425.326,0.93923,1.21029,1.38395,0.74459,0.57,0.63915,0.43202,1.47808,1.80597,2.02993,0.000521727,0.000521727,0.000521727
24,450.187,0.90767,1.20128,1.34379,0.63691,0.56303,0.6117,0.41789,1.54936,1.85411,2.20138,0.000515124,0.000515124,0.000515124
25,474.896,0.88707,1.14331,1.33671,0.80079,0.51451,0.60629,0.46309,1.47614,1.7936,2.06,0.000508521,0.000508521,0.000508521
26,500.4,0.88085,1.13603,1.33188,0.74627,0.42499,0.52855,0.37543,1.46014,2.07691,2.04085,0.000501917,0.000501917,0.000501917
27,525.716,0.87034,1.10111,1.3136,0.51239,0.56487,0.57759,0.43883,1.54565,1.75328,2.1336,0.000495314,0.000495314,0.000495314
28,552.294,0.89372,1.13824,1.34065,0.76061,0.55691,0.639,0.44969,1.56035,1.7084,2.17303,0.000488711,0.000488711,0.000488711
29,580.62,0.84653,1.08363,1.32297,0.77427,0.5075,0.57744,0.40257,1.56498,1.92118,2.27238,0.000482108,0.000482108,0.000482108
30,609.843,0.84755,1.03006,1.30237,0.81079,0.62268,0.65005,0.45847,1.55698,1.83623,2.13793,0.000475504,0.000475504,0.000475504
31,636.694,0.82669,1.05381,1.2874,0.56276,0.43001,0.53013,0.39557,1.48314,2.27309,2.02478,0.000468901,0.000468901,0.000468901
32,664.194,0.79433,1.01803,1.25983,0.61888,0.58098,0.59757,0.43819,1.3928,1.77326,1.92138,0.000462298,0.000462298,0.000462298
33,686.29,0.82315,1.01193,1.28161,0.73515,0.46392,0.59507,0.43069,1.44318,1.97874,1.96202,0.000455694,0.000455694,0.000455694
34,703.103,0.78555,0.97221,1.233,0.6325,0.50216,0.57832,0.41676,1.42356,1.97548,1.97614,0.000449091,0.000449091,0.000449091
35,718.901,0.78768,0.97685,1.25269,0.57771,0.44084,0.49777,0.372,1.53915,2.26442,2.07264,0.000442488,0.000442488,0.000442488
36,734.093,0.79249,0.95193,1.25103,0.46503,0.53712,0.53623,0.39854,1.39705,2.09288,2.0284,0.000435884,0.000435884,0.000435884
37,748.709,0.78127,0.93834,1.23821,0.63214,0.5415,0.58177,0.41527,1.47283,1.89082,2.05392,0.000429281,0.000429281,0.000429281
38,765.903,0.75315,0.93793,1.23265,0.68068,0.56636,0.56717,0.42184,1.53287,2.19012,2.14515,0.000422678,0.000422678,0.000422678
39,782.739,0.75284,0.89524,1.22817,0.58646,0.59037,0.57276,0.42654,1.52283,1.97865,2.14288,0.000416075,0.000416075,0.000416075
40,797.947,0.74957,0.88543,1.2149,0.69131,0.44234,0.50398,0.37185,1.45444,2.18405,2.05931,0.000409471,0.000409471,0.000409471
41,813.639,0.74679,0.8707,1.2193,0.6432,0.55292,0.57227,0.40154,1.47339,1.83782,2.09309,0.000402868,0.000402868,0.000402868
